engine,player_name,player_id,game_date,season,dataset_split,team,opponent,p_k,bf_mean,bf_std,beta_concentration,proj_k,actual_bf,actual_k,line,lean,edge,edge_bucket,model_prob_over,model_prob_under,implied_prob_over,implied_prob_under,actual_odds,bet_win,odds_flag,statcast_available,seg_A,seg_D,seg_E,n_books
BetaBinomial,Joe Ross,605452.0,2024-04-15,2024,VALIDATION,MIL,SDP,0.2182,19.9,4.2,50.0,4.35,26,4.0,4.5,UNDER,0.0551,5%+,0.4348,0.5652,0.4899,0.5101,-250.0,1.0,False,False,False,False,False,10
BetaBinomial,Matthew Boyd,571510.0,2025-08-19,2025,OOS,CHC,MIL,0.2005,24.2,4.4,9.9,4.84,25,3.0,4.5,UNDER,0.0729,5%+,0.459,0.541,0.5319,0.4681,102.0,1.0,False,True,False,False,False,8
BetaBinomial,Chad Patrick,694477.0,2025-08-19,2025,OOS,MIL,CHC,0.2565,22.7,2.98,18.0,5.83,22,4.0,4.5,OVER,0.0878,5%+,0.6294,0.3706,0.5416,0.4584,-275.0,0.0,False,True,False,False,False,6
BetaBinomial,Clay Holmes,605280.0,2025-08-12,2025,OOS,NYM,ATL,0.1641,22.1,2.84,28.6,3.62,20,4.0,4.5,UNDER,0.1168,5%+,0.3072,0.6928,0.424,0.576,-160.0,1.0,False,True,False,False,False,8
BetaBinomial,Spencer Strider,675911.0,2025-08-12,2025,OOS,ATL,NYM,0.2515,23.7,3.68,11.1,5.95,22,2.0,6.5,UNDER,0.1204,5%+,0.3936,0.6064,0.514,0.486,-245.0,1.0,False,True,False,False,False,8
BetaBinomial,Kyle Hendricks,543294.0,2024-09-28,2024,VALIDATION,CHC,CIN,0.1863,26.8,7.62,24.4,4.99,26,2.0,3.5,OVER,0.0791,5%+,0.6248,0.3752,0.5457,0.4543,-158.0,0.0,False,True,False,True,False,7
BetaBinomial,Rhett Lowder,695076.0,2024-09-28,2024,VALIDATION,CIN,CHC,0.1901,21.9,3.16,21.5,4.16,21,1.0,4.5,UNDER,0.0327,2-5%,0.3894,0.6106,0.4221,0.5779,-142.0,1.0,False,True,False,False,False,7
BetaBinomial,Michael McGreevy,700241.0,2025-09-05,2025,OOS,STL,SFG,0.1498,25.4,3.77,13.1,3.8,22,3.0,3.5,UNDER,0.0361,2-5%,0.451,0.549,0.4871,0.5129,-286.0,1.0,False,True,False,False,False,8
BetaBinomial,Jacob Misiorowski,694819.0,2025-09-07,2025,OOS,MIL,PIT,0.3554,20.9,7.35,11.6,7.42,25,8.0,6.5,OVER,0.0477,2-5%,0.533,0.467,0.4853,0.5147,-110.0,1.0,False,True,False,False,False,1
BetaBinomial,Zack Littell,641793.0,2025-08-05,2025,OOS,CIN,CHC,0.1457,24.5,2.54,34.8,3.56,26,8.0,3.5,UNDER,0.1087,5%+,0.4572,0.5428,0.5659,0.4341,118.0,0.0,False,True,False,False,False,6
BetaBinomial,Shota Imanaga,684007.0,2025-08-05,2025,OOS,CHC,CIN,0.2071,23.2,4.93,19.3,4.81,21,7.0,5.5,UNDER,0.1109,5%+,0.3556,0.6444,0.4665,0.5335,-132.0,0.0,False,True,False,False,False,8
BetaBinomial,Grayson Rodriguez,680570.0,2024-07-07,2024,VALIDATION,BAL,OAK,0.2941,25.4,3.21,28.7,7.46,26,,6.5,OVER,0.0366,2-5%,0.5916,0.4084,0.555,0.445,-138.0,,False,True,False,True,False,8
BetaBinomial,Mitch Spence,687765.0,2024-07-07,2024,VALIDATION,OAK,BAL,0.1995,24.0,5.05,44.3,4.79,27,,4.5,OVER,0.0791,5%+,0.499,0.501,0.4199,0.5801,-162.0,,False,True,False,False,False,8
BetaBinomial,Nick Pivetta,601713.0,2025-05-11,2025,OOS,SD,COL,0.3366,23.7,5.97,26.7,7.99,22,,6.5,OVER,0.1276,5%+,0.6194,0.3806,0.4918,0.5082,-108.0,,False,True,False,True,False,6
BetaBinomial,Logan Webb,657277.0,2024-07-25,2024,VALIDATION,SF,LAD,0.1982,26.1,2.99,73.0,5.17,26,,5.5,UNDER,0.0506,5%+,0.4188,0.5812,0.4694,0.5306,-286.0,,False,True,False,False,False,8
BetaBinomial,Chase Anderson,502624.0,2023-06-24,2023,TRAIN,COL,LAA,0.2139,20.9,4.41,15.0,4.47,20,,4.5,OVER,0.0303,2-5%,0.4356,0.5644,0.4053,0.5947,-160.0,,False,True,False,True,False,11
BetaBinomial,Griffin Canning,656288.0,2023-06-24,2023,TRAIN,LAA,COL,0.274,24.3,4.23,26.0,6.65,22,,4.5,OVER,0.1446,5%+,0.7192,0.2808,0.5746,0.4254,-143.0,,False,True,False,True,False,11
BetaBinomial,Andrew Heaney,571760.0,2024-04-13,2024,VALIDATION,TEX,HOU,0.199,15.5,4.2,50.0,3.09,20,1.0,4.5,UNDER,0.2336,5%+,0.2358,0.7642,0.4694,0.5306,-130.0,1.0,False,False,False,False,False,10
BetaBinomial,Ronel Blanco,669854.0,2024-04-13,2024,VALIDATION,HOU,TEX,0.2018,21.0,4.2,50.0,4.24,24,5.0,5.5,UNDER,0.1664,5%+,0.2754,0.7246,0.4418,0.5582,-315.0,1.0,False,False,False,False,False,10
BetaBinomial,Tylor Megill,656731.0,2023-05-12,2023,TRAIN,NYM,WSN,0.1611,22.2,3.08,32.7,3.57,23,4.0,3.5,UNDER,0.1226,5%+,0.4526,0.5474,0.5752,0.4248,120.0,0.0,False,True,False,False,False,7
BetaBinomial,MacKenzie Gore,669022.0,2023-05-12,2023,TRAIN,WSH,WSN,0.3093,24.1,5.25,44.9,7.45,19,3.0,5.5,OVER,0.1973,5%+,0.7114,0.2886,0.5141,0.4859,-125.0,0.0,False,True,False,False,False,8
BetaBinomial,Mackenzie Gore,669022.0,2023-05-12,2023,TRAIN,WSH,WSN,0.3093,24.1,5.25,44.9,7.45,19,3.0,5.5,OVER,0.2033,5%+,0.6982,0.3018,0.4949,0.5051,-115.0,0.0,False,True,False,False,False,2
BetaBinomial,JP Sears,676664.0,2025-09-28,2025,OOS,SD,SDP,0.211,21.3,4.13,8.9,4.49,26,4.0,3.5,OVER,0.0728,5%+,0.5358,0.4642,0.463,0.537,102.0,1.0,False,True,False,False,False,8
BetaBinomial,Brandon Pfaadt,694297.0,2025-09-28,2025,OOS,AZ,SDP,0.1863,27.0,8.32,30.1,5.03,20,5.0,3.5,OVER,0.1327,5%+,0.643,0.357,0.5103,0.4897,-131.0,1.0,False,True,False,False,False,8
BetaBinomial,Austin Gomber,596295.0,2024-06-25,2024,VALIDATION,COL,HOU,0.1326,23.6,7.31,19.2,3.13,24,4.0,3.5,UNDER,0.0859,5%+,0.3604,0.6396,0.4463,0.5537,-1430.0,0.0,False,True,False,False,False,9
BetaBinomial,Hunter Brown,686613.0,2024-06-25,2024,VALIDATION,HOU,COL,0.3449,32.0,4.98,17.4,11.04,23,7.0,7.5,OVER,0.2929,5%+,0.7539,0.2461,0.461,0.539,113.0,0.0,False,True,True,True,True,9
BetaBinomial,Xzavion Curry,675540.0,2024-07-23,2024,VALIDATION,CLE,DET,0.1583,19.9,4.79,50.0,3.14,18,,3.5,UNDER,0.0188,0-2%,0.3864,0.6136,0.4052,0.5948,-170.0,,False,True,False,True,False,6
BetaBinomial,Connor Seabold,657756.0,2023-06-17,2023,TRAIN,COL,ATL,0.186,24.0,4.43,20.6,4.46,19,,3.5,OVER,0.0637,5%+,0.5778,0.4222,0.5141,0.4859,-125.0,,False,True,False,False,False,11
BetaBinomial,Bryce Elder,693821.0,2023-06-17,2023,TRAIN,ATL,COL,0.2368,25.3,3.21,25.3,6.0,22,,5.5,OVER,0.0857,5%+,0.5316,0.4684,0.4459,0.5541,-175.0,,False,True,False,True,False,11
BetaBinomial,Framber Valdez,664285.0,2025-08-09,2025,OOS,HOU,NYY,0.2892,26.7,2.64,10.4,7.73,27,1.0,6.5,OVER,0.115,5%+,0.5602,0.4398,0.4452,0.5548,124.0,0.0,False,True,False,True,False,8
BetaBinomial,Chase Silseth,681217.0,2023-09-29,2023,TRAIN,LAA,OAK,0.2947,19.5,6.55,19.2,5.73,16,3.0,5.5,OVER,0.0471,2-5%,0.4804,0.5196,0.4333,0.5667,118.0,0.0,False,True,False,True,False,1
BetaBinomial,Ken Waldichuk,686610.0,2023-09-29,2023,TRAIN,OAK,LAA,0.2333,23.2,4.88,18.2,5.41,26,3.0,5.5,UNDER,0.0151,0-2%,0.4308,0.5692,0.4459,0.5541,-300.0,1.0,False,True,False,True,False,8
