Engine commit: ae55ebe32
Games: 1087 total, 0 done, 1087 to run
Workers: 10 (cores=11, avail_mem=7.6GB, peak_rss=321MB)
  [259/1087] 2021_18_CIN_CLE: 54.6s, 3 iter
  [260/1087] 2021_18_CHI_MIN: 57.2s, 3 iter
  [261/1087] 2021_18_GB_DET: 52.4s, 3 iter
  [262/1087] 2021_18_LAC_LV: 38.1s, 2 iter
  [263/1087] 2021_18_SEA_ARI: 20.3s, 1 iter
  [264/1087] 2021_18_PIT_BAL: 37.1s, 2 iter
  [265/1087] 2021_18_KC_DEN: 57.6s, 3 iter
  [266/1087] 2021_18_IND_JAX: 72.5s, 4 iter
  [267/1087] 2021_18_NE_MIA: 59.0s, 3 iter
  [268/1087] 2021_18_TEN_HOU: 38.1s, 2 iter
  [269/1087] 2021_18_NO_ATL: 58.8s, 3 iter
  [270/1087] 2021_18_NYJ_BUF: 58.4s, 3 iter
  [271/1087] 2021_18_SF_LA: 57.3s, 3 iter
  [272/1087] 2022_01_KC_ARI: 71.7s, 3 iter
  [273/1087] 2021_18_WAS_NYG: 105.9s, 5 iter
  [274/1087] 2022_01_BUF_LA: 96.3s, 4 iter
  [275/1087] 2022_01_LV_LAC: 72.6s, 3 iter
  [276/1087] 2022_01_CLE_CAR: 96.7s, 4 iter
  [277/1087] 2022_01_BAL_NYJ: 119.4s, 5 iter
  [278/1087] 2022_01_GB_MIN: 96.6s, 4 iter
  [279/1087] 2022_01_IND_HOU: 96.5s, 4 iter
  [280/1087] 2022_01_DEN_SEA: 121.9s, 5 iter
  [281/1087] 2022_01_JAX_WAS: 122.8s, 5 iter
  [282/1087] 2022_02_CAR_NYG: 45.4s, 2 iter
  [283/1087] 2022_02_ARI_LV: 74.6s, 3 iter
  [284/1087] 2022_01_NE_MIA: 110.6s, 4 iter
  [285/1087] 2022_01_NO_ATL: 109.6s, 4 iter
  [286/1087] 2022_01_NYG_TEN: 110.5s, 4 iter
  [287/1087] 2022_01_PHI_DET: 108.9s, 4 iter
  [288/1087] 2022_01_PIT_CIN: 108.7s, 4 iter
  [289/1087] 2022_02_ATL_LA: 95.3s, 4 iter
  [290/1087] 2022_01_TB_DAL: 131.3s, 5 iter
  [291/1087] 2022_02_IND_JAX: 39.6s, 2 iter
  [292/1087] 2022_02_MIN_PHI: 37.1s, 2 iter
  [293/1087] 2022_02_MIA_BAL: 56.9s, 3 iter
  [294/1087] 2022_02_CHI_GB: 80.7s, 4 iter
  [295/1087] 2022_02_LAC_KC: 58.5s, 3 iter
  [296/1087] 2022_02_HOU_DEN: 81.6s, 4 iter
  [297/1087] 2022_02_TB_NO: 38.4s, 2 iter
  [298/1087] 2022_02_CIN_DAL: 102.0s, 5 iter
  [299/1087] 2022_01_SF_CHI: 181.9s, 7 iter
  [300/1087] 2022_02_NE_PIT: 74.0s, 4 iter
  [301/1087] 2022_02_NYJ_CLE: 59.0s, 3 iter
  [302/1087] 2022_02_WAS_DET: 36.8s, 2 iter
  [303/1087] 2022_03_ATL_SEA: 38.6s, 2 iter
  [304/1087] 2022_02_SEA_SF: 76.8s, 4 iter
  [305/1087] 2022_02_TEN_BUF: 72.1s, 4 iter
  [306/1087] 2022_03_BAL_NE: 59.9s, 3 iter
  [307/1087] 2022_03_DAL_NYG: 58.9s, 3 iter
  [308/1087] 2022_03_GB_TB: 54.1s, 3 iter
  [309/1087] 2022_03_BUF_MIA: 74.2s, 4 iter
  [310/1087] 2022_03_KC_IND: 39.6s, 2 iter
  [311/1087] 2022_03_CIN_NYJ: 73.4s, 4 iter
  [312/1087] 2022_03_HOU_CHI: 62.3s, 3 iter
  [313/1087] 2022_03_JAX_LAC: 59.9s, 3 iter
  [314/1087] 2022_03_DET_MIN: 71.5s, 4 iter
  [315/1087] 2022_03_LV_TEN: 38.1s, 2 iter
  [316/1087] 2022_03_LA_ARI: 45.1s, 2 iter
  [317/1087] 2022_04_ARI_CAR: 40.0s, 2 iter
  [318/1087] 2022_03_NO_CAR: 61.4s, 3 iter
  [319/1087] 2022_03_SF_DEN: 57.2s, 3 iter
  [320/1087] 2022_04_BUF_BAL: 59.2s, 3 iter
  [321/1087] 2022_04_CLE_ATL: 58.4s, 3 iter
  [322/1087] 2022_04_CHI_NYG: 63.3s, 3 iter
