outcome,class,feature_a,feature_b,features,n_flagged,z_score,hit_rate,baseline,direction,val_z,val_n,val_hit,oos_z,oos_n,oos_hit,oos_att
hw,A,home_drtg_H,days_rest_home_L,home_drtg_H × days_rest_home_L,306,-4.011564289492512,0.4673202614379085,0.5804878048780487,UNDER,-4.270900646348224,494,0.4473684210526316,-2.8910978874497593,428,0.4742990654205608,27.930909769477942
hw,A,home_drtg_H,games_l7_home_H,home_drtg_H × games_l7_home_H,324,-3.8364838105892662,0.47530864197530864,0.5804878048780487,UNDER,-3.95427778686752,499,0.45490981963927857,-2.8081407375287335,442,0.47737556561085975,26.804311547520488
hw,A,home_drtg_H,home_rest_days_L,home_drtg_H × home_rest_days_L,305,-3.950779545648639,0.46885245901639344,0.5804878048780487,UNDER,-4.363354833418947,490,0.4448979591836735,-2.8910978874497593,428,0.4742990654205608,26.822090323060564
hw,A,home_drtg_H,home_games_last_5_H,home_drtg_H × home_games_last_5_H,338,-3.990615577976885,0.47337278106508873,0.5804878048780487,UNDER,-4.213533340954779,537,0.45251396648044695,-3.0661840416284063,467,0.4732334047109208,23.165136262439393
hw,A,home_drtg_H,home_hours_since_prev_L,home_drtg_H × home_hours_since_prev_L,305,-3.950779545648639,0.46885245901639344,0.5804878048780487,UNDER,-4.363354833418947,490,0.4448979591836735,-2.8910978874497593,428,0.4742990654205608,26.822090323060564
hw,A,home_drtg_L,away_ortg_x_home_drtg_L,home_drtg_L × away_ortg_x_home_drtg_L,294,3.939840161435597,0.6938775510204082,0.5804878048780487,OVER,5.02915767232797,113,0.7787610619469026,4.7794225769901395,185,0.7189189189189189,-21.310062874444526
hw,A,home_drtg_L,games_l7_away_H,home_drtg_L × games_l7_away_H,349,3.949446279744677,0.6848137535816619,0.5804878048780487,OVER,3.487593303157415,203,0.6650246305418719,4.0617074320346465,255,0.6705882352941176,-2.8424529500683997
hw,A,home_drtg_L,away_games_last_5_H,home_drtg_L × away_games_last_5_H,376,4.0481683700733315,0.6835106382978723,0.5804878048780487,OVER,3.4549844224715116,215,0.6604651162790698,4.383732052368341,277,0.6750902527075813,-8.289271878504668
hw,A,home_pace_H,home_ortg_x_away_drtg_L,home_pace_H × home_ortg_x_away_drtg_L,169,-2.51003319889882,0.48520710059171596,0.5804878048780487,UNDER,-2.736191524155019,73,0.3835616438356164,-3.9329775701289718,127,0.3700787401574803,-56.690260983576366
hw,A,home_pace_L,away_tov_rate_H,home_pace_L × away_tov_rate_H,145,3.3369818344888453,0.7172413793103448,0.5804878048780487,OVER,2.7513114442389623,123,0.6666666666666666,1.282213567857464,218,0.5871559633027523,61.57565034950596
hw,A,away_ortg_H,days_rest_home_L,away_ortg_H × days_rest_home_L,297,-2.046557328723339,0.5218855218855218,0.5804878048780487,UNDER,-3.431749393268493,533,0.46904315196998125,-4.339034753002766,438,0.4406392694063927,-112.0162817872048
hw,A,away_ortg_L,away_drtg_H,away_ortg_L × away_drtg_H,122,3.885860426844489,0.7540983606557377,0.5804878048780487,OVER,4.610152624418694,135,0.7407407407407407,4.2034088848075335,115,0.7391304347826086,-8.171895618518377
hw,A,away_ortg_L,home_ortg_x_away_drtg_H,away_ortg_L × home_ortg_x_away_drtg_H,125,3.523308024181491,0.736,0.5804878048780487,OVER,6.673764906868662,138,0.8260869565217391,5.396368891278827,107,0.8037383177570093,-53.16199589255246
hw,A,away_ortg_L,away_pace_trend_L,away_ortg_L × away_pace_trend_L,135,2.3778925249588587,0.6814814814814815,0.5804878048780487,OVER,2.857533918877049,91,0.6923076923076923,1.999757337762684,118,0.635593220338983,15.902114297731643
hw,A,away_drtg_H,away_pace_H,away_drtg_H × away_pace_H,162,2.700377477471382,0.6851851851851852,0.5804878048780487,OVER,2.526461187713464,184,0.6358695652173914,2.664491626699459,81,0.691358024691358,1.328919792559016
hw,A,away_drtg_H,home_ortg_x_away_drtg_H,away_drtg_H × home_ortg_x_away_drtg_H,283,3.5802656685246803,0.6855123674911661,0.5804878048780487,OVER,5.590443643817753,340,0.6941176470588235,6.747968849299832,192,0.7864583333333334,-88.47676329227454
hw,A,away_drtg_H,away_ft_rate_L,away_drtg_H × away_ft_rate_L,122,2.2346829769301455,0.680327868852459,0.5804878048780487,OVER,3.6638091668407666,326,0.6441717791411042,4.44660648556194,237,0.6877637130801688,-98.98153480680214
hw,A,away_drtg_H,away_road_trip_length_H,away_drtg_H × away_road_trip_length_H,236,2.243100204554582,0.652542372881356,0.5804878048780487,OVER,2.7216314223125617,277,0.6245487364620939,3.5557152450950182,174,0.6781609195402298,-58.517895806669316
hw,A,away_drtg_L,away_3pa_rate_H,away_drtg_L × away_3pa_rate_H,116,-2.3211175132132698,0.47413793103448276,0.5804878048780487,UNDER,-1.3996241261628115,117,0.47863247863247865,-3.5359054522094517,329,0.44680851063829785,-52.336339374497
hw,A,away_pace_L,home_ortg_x_away_drtg_L,away_pace_L × home_ortg_x_away_drtg_L,140,-2.4436508075791363,0.4785714285714286,0.5804878048780487,UNDER,-3.979392075322324,130,0.36923076923076925,-3.2499382810391375,192,0.4270833333333333,-32.995200089933064
hw,A,away_pace_L,away_ortg_trend_H,away_pace_L × away_ortg_trend_H,145,-2.0481598221524386,0.496551724137931,0.5804878048780487,UNDER,-3.5855143636579045,153,0.39869281045751637,-1.2616837390863764,156,0.4935897435897436,38.399155893974324
hw,A,away_pace_L,away_3pa_rate_L,away_pace_L × away_3pa_rate_L,80,-2.365081296031489,0.45,0.5804878048780487,UNDER,-1.8845286654855888,86,0.4418604651162791,-1.9841409961506067,28,0.35714285714285715,16.10685858960049
hw,A,away_pace_L,proj_total_naive_L,away_pace_L × proj_total_naive_L,150,-2.163049500396012,0.49333333333333335,0.5804878048780487,UNDER,-1.2262618726778165,177,0.4971751412429379,-1.550796175842765,262,0.4961832061068702,28.305100019262408
hw,A,home_ortg_x_away_drtg_H,away_ortg_x_home_drtg_L,home_ortg_x_away_drtg_H × away_ortg_x_home_drtg_L,104,3.503069649733128,0.75,0.5804878048780487,OVER,5.7484723883461575,103,0.8252427184466019,5.722840682764052,106,0.8207547169811321,-63.36645442376606
hw,A,home_ortg_x_away_drtg_H,away_ortg_trend_L,home_ortg_x_away_drtg_H × away_ortg_trend_L,161,3.599981957685641,0.7204968944099379,0.5804878048780487,OVER,3.7634136432463197,208,0.6730769230769231,4.681536987595146,128,0.75,-30.04334584512238
hw,A,home_ortg_x_away_drtg_H,away_tov_rate_H,home_ortg_x_away_drtg_H × away_tov_rate_H,144,4.966395840404243,0.7847222222222222,0.5804878048780487,OVER,5.088852041537251,105,0.7904761904761904,6.936516069582399,156,0.8205128205128205,-39.669013354718736
hw,A,home_ortg_x_away_drtg_H,proj_total_naive_L,home_ortg_x_away_drtg_H × proj_total_naive_L,36,3.7497153533786887,0.8888888888888888,0.5804878048780487,OVER,2.7256511022545253,71,0.704225352112676,3.310346550304169,64,0.75,11.7173908328435
hw,A,home_ortg_x_away_drtg_L,home_ortg_trend_H,home_ortg_x_away_drtg_L × home_ortg_trend_H,110,-2.290272849577945,0.4727272727272727,0.5804878048780487,UNDER,-3.4669870417427653,80,0.35,-2.082093430578219,182,0.46703296703296704,9.089721298407303
hw,A,home_ortg_x_away_drtg_L,away_3pa_rate_H,home_ortg_x_away_drtg_L × away_3pa_rate_H,132,-2.4030414598336387,0.4772727272727273,0.5804878048780487,UNDER,-3.0502243767448864,121,0.4049586776859504,-4.119339614483518,309,0.42718446601941745,-71.4219119119442
hw,A,home_ortg_x_away_drtg_L,home_tov_rate_H,home_ortg_x_away_drtg_L × home_tov_rate_H,174,-2.305095912785302,0.4942528735632184,0.5804878048780487,UNDER,-4.848993813487012,102,0.30392156862745096,-5.367581270021127,268,0.3805970149253731,-132.85717701591648
hw,A,home_ortg_x_away_drtg_L,days_rest_home_L,home_ortg_x_away_drtg_L × days_rest_home_L,326,-2.2714957494588615,0.5184049079754601,0.5804878048780487,UNDER,-4.332266304486091,219,0.3972602739726027,-5.455795460109784,351,0.39886039886039887,-140.18514942893987
hw,A,home_ortg_x_away_drtg_L,games_l7_home_H,home_ortg_x_away_drtg_L × games_l7_home_H,339,-2.2876468323824617,0.5191740412979351,0.5804878048780487,UNDER,-4.505225750642023,226,0.3938053097345133,-6.067672625533069,359,0.38440111420612816,-165.23642284477594
