game_pk,date,season,home_team,away_team,home_score,away_score,actual_total,actual_f5_total,park_factor_runs,temperature,wind_speed,wind_direction,home_rest_days,away_rest_days,umpire_over_rate,innings_played,completed_early,total_line,total_over_price,total_under_price,f5_line,late_implied,f5_ratio,actual_late_runs,actual_f5_share,path_state,fg_over,fg_under,fg_push,path_error,fg_error,home_sp_avg_ip,home_sp_fip,home_sp_ip_std,home_sp_k_rate,away_sp_avg_ip,away_sp_fip,away_sp_ip_std,away_sp_k_rate,home_bp_era,away_bp_era,sp_length_diff,bp_quality_diff,sp_fragility_max,sp_fragility_avg,sp_avg_ip_min,bp_era_avg,sp_fip_avg,sp_fip_max,split
718291,2023-05-06,2023,TBR,NYY,2,3,5,2.0,97,72.0,0.0,0.0,1,1,1.013,9,False,7.5,-115.0,-105.0,4.0,3.5,0.5333333333333333,3.0,0.4,COMPRESSED_LOW,0,1,0,-0.5,-2.5,,,,,,,,,,,,,,,,,,,discovery
718285,2023-05-06,2023,CLE,MIN,4,3,7,3.0,98,60.6,15.2,49.0,1,1,0.984,9,False,7.5,100.0,-120.0,4.0,3.5,0.5333333333333333,4.0,0.42857142857142855,COMPRESSED_LOW,0,1,0,0.5,-0.5,,,,,,,,,,,,,,,,,,,discovery
718285,2023-05-06,2023,CLE,MIN,4,3,7,3.0,98,60.6,15.2,49.0,1,1,0.984,9,False,8.5,-105.0,-115.0,4.0,4.5,0.47058823529411764,4.0,0.42857142857142855,ELEVATED_LATE,0,1,0,-0.5,-1.5,,,,,,,,,,,,,,,,,,,discovery
718286,2023-05-06,2023,PIT,TOR,2,8,10,7.0,101,69.4,2.6,31.0,1,1,1.0,9,False,9.0,100.0,-120.0,4.5,4.5,0.5,3.0,0.7,ELEVATED_LATE,1,0,0,-1.5,1.0,,,,,,,,,,,,,,,,,,,discovery
718286,2023-05-06,2023,PIT,TOR,2,8,10,7.0,101,69.4,2.6,31.0,1,1,1.0,9,False,9.0,-115.0,-105.0,4.5,4.5,0.5,3.0,0.7,ELEVATED_LATE,1,0,0,-1.5,1.0,,,,,,,,,,,,,,,,,,,discovery
718281,2023-05-06,2023,CIN,CHW,5,3,8,7.0,107,74.1,7.7,197.0,1,1,1.024,9,False,9.5,-110.0,-110.0,5.0,4.5,0.5263157894736842,1.0,0.875,ELEVATED_LATE,0,1,0,-3.5,-1.5,,,,,,,,,,,,,,,,,,,discovery
718281,2023-05-06,2023,CIN,CHW,5,3,8,7.0,107,74.1,7.7,197.0,1,1,1.024,9,False,9.5,-115.0,-105.0,5.0,4.5,0.5263157894736842,1.0,0.875,ELEVATED_LATE,0,1,0,-3.5,-1.5,,,,,,,,,,,,,,,,,,,discovery
718280,2023-05-06,2023,KCR,OAK,4,5,9,9.0,100,90.3,10.9,223.0,1,1,1.0,9,False,10.5,-110.0,-110.0,5.5,5.0,0.5238095238095238,0.0,1.0,ELEVATED_LATE,0,1,0,-5.0,-1.5,,,,,,,,,,,,,,,,,,,discovery
718280,2023-05-06,2023,KCR,OAK,4,5,9,9.0,100,90.3,10.9,223.0,1,1,1.0,9,False,9.0,-105.0,-115.0,5.5,3.5,0.6111111111111112,0.0,1.0,EARLY_HEAVY,0,0,1,-3.5,0.0,,,,,,,,,,,,,,,,,,,discovery
718284,2023-05-06,2023,PHI,BOS,4,7,11,8.0,104,65.9,3.3,318.0,1,1,0.975,9,False,9.5,100.0,-120.0,5.5,4.0,0.5789473684210527,3.0,0.7272727272727273,EARLY_HEAVY,1,0,0,-1.0,1.5,,,,,,,,,,,,,,,,,,,discovery
