game_pk,game_date,fastball_dom,open_line_6am,benchmark_line_noon,line_move_6am_to_noon,actual_total,year,signal_type,signal_market,down_move_05
777847,2025-05-20,0,8.0,8.0,0.0,1,2025,APPROX_UNDER,totals_under,0
777836,2025-05-20,0,8.0,8.0,0.0,5,2025,APPROX_UNDER,totals_under,0
777804,2025-05-23,1,9.5,9.5,0.0,7,2025,APPROX_UNDER,totals_under,0
777786,2025-05-24,0,8.0,7.5,-0.5,11,2025,APPROX_UNDER,totals_under,1
777779,2025-05-25,1,9.0,9.0,0.0,19,2025,APPROX_UNDER,totals_under,0
777768,2025-05-25,0,11.0,10.5,-0.5,9,2025,APPROX_UNDER,totals_under,1
777783,2025-05-25,0,8.0,8.0,0.0,8,2025,APPROX_UNDER,totals_under,0
777753,2025-05-27,1,8.5,9.0,0.5,14,2025,APPROX_UNDER,totals_under,0
777748,2025-05-27,0,8.5,8.5,0.0,2,2025,APPROX_UNDER,totals_under,0
777746,2025-05-27,0,8.5,8.5,0.0,6,2025,APPROX_UNDER,totals_under,0
777742,2025-05-27,0,8.0,8.0,0.0,14,2025,APPROX_UNDER,totals_under,0
777737,2025-05-28,0,8.0,8.0,0.0,13,2025,APPROX_UNDER,totals_under,0
777732,2025-05-28,1,8.0,8.0,0.0,5,2025,APPROX_UNDER,totals_under,0
777716,2025-05-30,0,8.0,8.5,0.5,18,2025,APPROX_UNDER,totals_under,0
777692,2025-06-01,1,8.0,8.0,0.0,4,2025,APPROX_UNDER,totals_under,0
777682,2025-06-01,0,9.0,9.0,0.0,10,2025,APPROX_UNDER,totals_under,0
777669,2025-06-02,0,9.0,9.5,0.5,14,2025,APPROX_UNDER,totals_under,0
777642,2025-06-05,0,8.5,8.5,0.0,11,2025,APPROX_UNDER,totals_under,0
777634,2025-06-05,0,8.5,8.0,-0.5,5,2025,APPROX_UNDER,totals_under,1
777600,2025-06-07,0,8.0,8.0,0.0,9,2025,APPROX_UNDER,totals_under,0
777603,2025-06-07,0,9.0,9.0,0.0,14,2025,APPROX_UNDER,totals_under,0
777599,2025-06-07,0,10.5,10.5,0.0,11,2025,APPROX_UNDER,totals_under,0
777570,2025-06-10,0,8.0,7.5,-0.5,9,2025,APPROX_UNDER,totals_under,1
777572,2025-06-10,1,8.5,8.5,0.0,12,2025,APPROX_UNDER,totals_under,0
777553,2025-06-11,1,8.5,9.0,0.5,9,2025,APPROX_UNDER,totals_under,0
777554,2025-06-11,0,8.0,7.5,-0.5,8,2025,APPROX_UNDER,totals_under,1
777551,2025-06-11,0,8.5,8.5,0.0,9,2025,APPROX_UNDER,totals_under,0
777547,2025-06-11,0,10.0,10.0,0.0,17,2025,APPROX_UNDER,totals_under,0
777533,2025-06-12,0,8.5,8.5,0.0,19,2025,APPROX_UNDER,totals_under,0
777540,2025-06-12,0,8.0,8.0,0.0,5,2025,APPROX_UNDER,totals_under,0
777537,2025-06-13,0,8.5,8.5,0.0,3,2025,APPROX_UNDER,totals_under,0
777535,2025-06-13,0,9.0,8.5,-0.5,16,2025,APPROX_UNDER,totals_under,1
777519,2025-06-14,0,9.5,9.0,-0.5,11,2025,APPROX_UNDER,totals_under,1
777516,2025-06-14,0,8.5,8.5,0.0,7,2025,APPROX_UNDER,totals_under,0
777500,2025-06-15,1,8.5,8.5,0.0,2,2025,APPROX_UNDER,totals_under,0
777462,2025-06-18,0,9.0,9.0,0.0,9,2025,APPROX_UNDER,totals_under,0
777456,2025-06-18,0,9.0,9.0,0.0,15,2025,APPROX_UNDER,totals_under,0
777455,2025-06-19,0,8.5,9.0,0.5,8,2025,APPROX_UNDER,totals_under,0
777410,2025-06-21,0,12.0,12.0,0.0,8,2025,APPROX_UNDER,totals_under,0
777403,2025-06-22,0,12.0,11.5,-0.5,20,2025,APPROX_UNDER,totals_under,1
777397,2025-06-22,1,9.0,9.0,0.0,15,2025,APPROX_UNDER,totals_under,0
777389,2025-06-23,0,8.5,8.5,0.0,5,2025,APPROX_UNDER,totals_under,0
777393,2025-06-23,0,9.0,9.0,0.0,10,2025,APPROX_UNDER,totals_under,0
777373,2025-06-24,0,9.0,9.0,0.0,15,2025,APPROX_UNDER,totals_under,0
777376,2025-06-24,1,8.0,8.0,0.0,5,2025,APPROX_UNDER,totals_under,0
777365,2025-06-25,0,9.0,8.5,-0.5,7,2025,APPROX_UNDER,totals_under,1
777344,2025-06-26,0,12.0,12.0,0.0,4,2025,APPROX_UNDER,totals_under,0
777295,2025-06-30,0,8.5,8.5,0.0,9,2025,APPROX_UNDER,totals_under,0
777283,2025-07-01,0,8.0,7.5,-0.5,17,2025,APPROX_UNDER,totals_under,1
777279,2025-07-02,0,9.5,9.5,0.0,11,2025,APPROX_UNDER,totals_under,0
777269,2025-07-02,0,11.0,10.5,-0.5,8,2025,APPROX_UNDER,totals_under,1
777264,2025-07-03,0,11.0,11.0,0.0,13,2025,APPROX_UNDER,totals_under,0
777245,2025-07-04,0,8.5,7.5,-1.0,13,2025,APPROX_UNDER,totals_under,1
777254,2025-07-04,0,8.0,8.0,0.0,11,2025,APPROX_UNDER,totals_under,0
